Page,Route,Audience,Purpose
Home,/,Public,"Homepage with hero, categories, provinces and products"
Shop,/shop,Public,Search and filter catalogue
Cart,/cart,Customer,Basket
Checkout,/checkout,Customer,Delivery and payment form
Blog,/blog,Public,Article index
Fresh Fruits,/categories/fresh-fruits,Public,Category landing page
Vegetables,/categories/vegetables,Public,Category landing page
Leafy Greens,/categories/leafy-greens,Public,Category landing page
Herbs & Spices,/categories/herbs-spices,Public,Category landing page
Tea & Coffee,/categories/tea-coffee,Public,Category landing page
Honey,/categories/honey,Public,Category landing page
Grains,/categories/grains,Public,Category landing page
Lentils & Beans,/categories/lentils-beans,Public,Category landing page
Dairy,/categories/dairy,Public,Category landing page
Natural Oils,/categories/oils,Public,Category landing page
Pickles,/categories/pickles,Public,Category landing page
Healthy Snacks,/categories/snacks,Public,Category landing page
Baby Food,/categories/baby-food,Public,Category landing page
Sugar-Free,/categories/sugar-free,Public,Category landing page
Juices,/categories/juices,Public,Category landing page
Dry Fruits,/categories/dry-fruits,Public,Category landing page
Ilam Orthodox Tea,/products/koshi-ilam-orthodox-tea,Public,SEO product detail page
Large Cardamom,/products/koshi-large-cardamom,Public,SEO product detail page
Fresh Ginger,/products/koshi-fresh-ginger,Public,SEO product detail page
Mandarin Orange,/products/koshi-mandarin-orange,Public,SEO product detail page
Akabare Chilli,/products/koshi-akabare-chilli,Public,SEO product detail page
Kiwi Fruit,/products/koshi-kiwi-fruit,Public,SEO product detail page
Bamboo Shoot Pickle,/products/koshi-bamboo-shoot-pickle,Public,SEO product detail page
Green Tea,/products/koshi-green-tea,Public,SEO product detail page
Avocado,/products/koshi-avocado,Public,SEO product detail page
Buckwheat Flour,/products/koshi-buckwheat-flour,Public,SEO product detail page
Lapsi Candy,/products/koshi-lapsi-candy,Public,SEO product detail page
Fresh Coriander,/products/koshi-fresh-coriander,Public,SEO product detail page
Basmati Rice,/products/madhesh-basmati-rice,Public,SEO product detail page
Malda Mango,/products/madhesh-malda-mango,Public,SEO product detail page
